Key,Source,Context,English,German
Schematicswp,blocks,block,Schematic Worksbench,Bauplan-Werkbank,
SchematicswpDesc,blocks,block,"Take your schematic parts, paper, some glue and leather to make new Books and Schematics","Benutze deine Bauplanteile, Papier, etwas Leim und Leder um neue Bücher und Baupläne herzustellen.",
MSchematicParts,items,Item,Schematic Parts,Bauplan-Teile,
MSchematicPartsDesc,items,Item,Schematic Parts can be obtained from scrapping books and schematics.,Bauplan-Teile können durch zerlegen von Büchern und Bauplänen erhalten werden.,

HuntingDesc,items,Item,This is your order book for hunting.,Das ist dein Auftragsbuch für die Jagd.,
spGreenThumbDesc,items,Item,"Plant some Seeds like Potato, Corn, Pumpkin and Mushrooms and you will rewared with some Food.","Pflanze Kartoffel-, Mais-, Kürbis- und Pilzsamen und du wirst mit etwas Essen belohnt.",
FetchspBuildingMatsDesc,items,Item,"Collect some Stone, Sand and Cement and i give you some Concrete Mix.","Sammle etwas Stein, Sand und Zement, dann gebe ich dir etwas Betonmischung.",
SkillPointDesc,items,Item,Read this and you will get 1 Skillpoint for fetch 1 Schematic Part.,Lies dies und erhalte 1 Skillpunkt für das Sammeln von einem Bauplan-Teil.,

spKill100,items,Item,[CC0000](Kill)[-] 100 Zombies,[CC0000](Töte)[-] 100 Zombies,
spKill250,items,Item,[CC0000](Kill)[-] 250 Zombies,[CC0000](Töte)[-] 250 Zombies,
spTGH,items,Item,[CC6600](Hunt)[-] The Great Hunt,[CC6600](Jagd)[-] Großwildjagd,
HuntingTGHDesc,items,Item,"Kill 3 bears, mountain lions, and deer each. Earn experience and 4000 coins.","Töte jeweils 3 Bären, Berglöwen und Hirsche. Erhalte Erfahrung und 4000 Coins.",
spHdsA,items,Item,[CC6600](Hunt)[-] Hunt down small Animals,[CC6600](Jagd)[-] Kleintierjagd,
HuntingsADesc,items,Item,"Kill 5 rabbits, chickens, and coyotes each. Earn experience and 2500 coins.","Töte jeweils 5 Hasen, Hühner und Kojoten. Erhalte Erfahrung und 2500 Coins.",
spGrace,items,Item,[CC0000](Kill)[-] Grace,[CC0000](Töte)[-] Grace,
spDireWolf,items,Item,[CC0000](Kill)[-] Dire Wolf,[CC0000](Töte)[-] Schreckenswolf,
spGreenThumb,items,Item,[66CC00](Place)[-] Green Thumb,[66CC00](Platzieren)[-] Grüner Daumen,
spBuildingMats,items,Item,[CCCC33](Fetch)[-] Building Materials,[CCCC33](Sammeln)[-] Baumaterialien,
spSkillPointBook,items,Item,[CCCC33](Fetch)[-] Get 1 Skill Point,[CCCC33](Sammeln)[-] Erhalte 1 Skillpunkt,

q_Kill100,quests,quest,Kill 100 Zombies,Töte 100 Zombies,
q_Kill100Desc,quests,quest,"Dear Survivor,\n\nkill 100 Zombies for me and i give you some coins as reward.\n\nHurry up!!!","Hallo Überlebender,\n\ntöte 100 Zombies für mich und ich gebe dir einige Münzen als Belohnung.\n\nNun mach schon, beeile dich!!!",
q_Kill250,quests,quest,Kill 250 Zombies,Töte 250 Zombies,
q_Kill250Desc,quests,quest,"Dear Survivor,\n\nkill 250 Zombies for me and i give you some coins and 1 point for your Skills as reward.\n\nHurry up!!!","Hallo Überlebender,\n\ntöte 250 Zombies für mich und ich gebe dir einige Münzen und 1 Punkt für deine Skills als Belohnung.\n\nNun mach schon, beeile dich!!!",
q_TGH,quests,quest,The Great Hunt,Großwildjagd,
q_TGHDesc,quests,quest,"Dear Survivor,\n\ngo out in the wilderness and hunt some big animals for me. I will give you some coins as reward.\n\nHurry up!!!","Hallo Überlebender,\n\nmach dich auf in die Wildniss und jage ein paar große Tiere für mich. Ich gebe dir einige Münzen als Belohnung.\n\nNun mach schon, beeile dich!!!",
q_HdsA,quests,quest,Hunt down small Animals,Kleintierjagd,
q_HdsADesc,quests,quest,"Dear Survivor,\n\nthese little wild animals are eating away all my crops, go hunting and kill some of them. I'll reward you for it too!\n\nHurry up!!!","Hallo Überlebender,\n\ndiese kleinen Wildtiere fressen meine ganze Ernte weg, mache dich auf die Jagd und erledige einige von ihnen. Ich werde dich dafür auch entlohnen!\n\nNun mach schon, beeile dich!!!",
q_Grace,quests,quest,Mission: Grace,Auftrag: Grace,
q_GraceDesc,quests,quest,"Dear Survivor,\n\nI've heard there's a giant mutant boar out there somewhere, I'd love to have it as a trophy. Go out and kill it!\n\nReward: 5000 Coins and 1 Skillpoint","Hallo Überlebender,\n\nich habe gehört, es gibt ein riesiges mutiertes Wildschwein irgendwo da draußen, ich hätte es gern als Trophäe. Geh los und erlege es!\n\nBelohnung: 5000 Coins and 1 Skillpunkt",
q_DireWolf,quests,quest,Mission: Dire Wolf,Auftrag: Schreckenswolf,
q_DireWolfDesc,quests,quest,"Dear Survivor,\n\nthere is a pack of dire wolves roaming the wilderness. Don't let them get too close to us! Kill two of them to show the others that they have no business here!\n\nReward: 6000 Coins and 1 Skillpoint","Hallo Überlebender,\n\nes treibt sich in der Wildniss ein Rudel Schreckenswölfe herum. So sollen uns nicht zu nahe kommen! Erledige 2 von Ihnen, um den anderen zu zeigen, dass sie hier nichts verloren haben!\n\nBelohnung: 6000 Coins and 1 Skillpunkt",
q_GreenThumb,quests,quest,Green Thumb,Grüner Daumen,
